lat,lng,elev,full_address,date,base_filename
39.277197,-103.469574,1689.0,"US-24, Genoa, CO 80818, USA",Oct 2012,"data/lat_39.27719,long_-103.469_"
40.608332,-108.343464,1769.13708496,"45020 CO-318, Maybell, CO 81640, USA",Sep 2008,"data/lat_40.60833,long_-108.343_"
39.638504,-104.724822,1781.19702148,"E Quincy Ave, Aurora, CO 80018, USA",Aug 2012,"data/lat_39.63850,long_-104.724_"
40.181862,-104.146892,1406.64367676,"Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012,"data/lat_40.18186,long_-104.146_"
39.117701,-104.743981,2274.37304688,"19570 Twisted Pine Dr, Colorado Springs, CO 80908, USA",Sep 2011,"data/lat_39.11770,long_-104.743_"
40.351332,-105.503628,2342.93994141,"1100-1198 Acacia Dr, Estes Park, CO 80517, USA",Oct 2012,"data/lat_40.35133,long_-105.503_"
38.850344,-103.456501,1517.35864258,"CO-94, Karval, CO 80823, USA",Aug 2012,"data/lat_38.85034,long_-103.456_"
38.89862,-105.990561,2849.40698242,"33600 US-24, Buena Vista, CO 81211, USA",Aug 2015,"data/lat_38.89862,long_-105.990_"
38.969791,-104.618586,2178.88964844,"Stapleton Dr, Peyton, CO 80831, USA",Sep 2011,"data/lat_38.96979,long_-104.618_"
40.744144,-102.994113,1188.72900391,"I-76, Fleming, CO 80728, USA",Jun 2012,"data/lat_40.74414,long_-102.994_"
40.246883,-105.154185,1577.27294922,"8379-8599 Yellowstone Rd, Longmont, CO 80503, USA",Oct 2009,"data/lat_40.24688,long_-105.154_"
37.367919,-107.851487,2000.78942871,"28561 US-550, Durango, CO 81301, USA",Dec 2007,"data/lat_37.36791,long_-107.851_"
39.625655,-104.743138,1777.83508301,"4963 S Malta St, Aurora, CO 80015, USA",Jun 2012,"data/lat_39.62565,long_-104.743_"
40.181997,-104.132276,1403.62524414,"1264 Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012,"data/lat_40.18199,long_-104.132_"
40.185111,-106.018941,2530.19946289,"5744 CO-125, Granby, CO 80446, USA",Sep 2012,"data/lat_40.18511,long_-106.018_"
38.996304,-103.479091,1569.93615723,"Co Rd 109, Hugo, CO 80821, USA",Aug 2012,"data/lat_38.99630,long_-103.479_"
38.066255,-103.191275,1182.59204102,"12789-12999 County Road Ff 75, Las Animas, CO 81054, USA",Jul 2012,"data/lat_38.06625,long_-103.191_"
39.411727,-105.255139,1992.93981934,"16675-16999 SW Platte River Rd, Pine, CO 80470, USA",Jun 2015,"data/lat_39.41172,long_-105.255_"
40.056934,-105.24432,1623.69958496,"4561 47th St, Boulder, CO 80301, USA",Jul 2012,"data/lat_40.05693,long_-105.244_"
40.355538,-104.803353,1472.72216797,"4900-5618 77th Ave, Greeley, CO 80634, USA",Jul 2012,"data/lat_40.35553,long_-104.803_"
38.853629,-106.163585,2491.10205078,"29925 Co Rd 357, Buena Vista, CO 81211, USA",Oct 2012,"data/lat_38.85362,long_-106.163_"
39.294418,-102.544872,1333.99536133,"I-70, Bethune, CO 80805, USA",Oct 2012,"data/lat_39.29441,long_-102.544_"
38.777242,-107.981082,1569.50598145,"20354-20478 Iris Rd, Orchard City, CO 81410, USA",Aug 2012,"data/lat_38.77724,long_-107.981_"
39.803585,-105.061309,1616.3848877,"5880-5940 W 59th Ave, Arvada, CO 80003, USA",Sep 2014,"data/lat_39.80358,long_-105.061_"
38.974537,-104.69851,2190.20825195,"9865 Eaglet Way, Colorado Springs, CO 80908, USA",Sep 2011,"data/lat_38.97453,long_-104.698_"
38.286333,-104.554136,1439.3392334,"Pete Jimenez Pkwy, Pueblo, CO 81001, USA",Jul 2015,"data/lat_38.28633,long_-104.554_"
37.660998,-107.797835,2769.11132812,"US-550, Durango, CO 81301, USA",Dec 2007,"data/lat_37.66099,long_-107.797_"
37.731851,-107.75035,3010.17382812,"US-550, Durango, CO 81301, USA",Dec 2007,"data/lat_37.73185,long_-107.750_"
40.582304,-104.991096,1505.08959961,"405-407 Loma Linda Dr, Fort Collins, CO 80524, USA",Jul 2012,"data/lat_40.58230,long_-104.991_"
39.80579,-105.071455,1621.92224121,"6785 W 60th Ave, Arvada, CO 80003, USA",Sep 2014,"data/lat_39.80579,long_-105.071_"
38.775774,-109.328506,1248.72302246,"UT-128, Moab, UT 84532, USA",Sep 2012,"data/lat_38.77577,long_-109.328_"
40.511864,-105.25068,1693.32421875,"12892 N Co Rd 27, Loveland, CO 80538, USA",Sep 2012,"data/lat_40.51186,long_-105.250_"
38.117917,-107.851766,2410.37158203,"3978-3990 CO-62, Ridgway, CO 81432, USA",Sep 2008,"data/lat_38.11791,long_-107.851_"
39.837384,-106.231738,2435.39501953,"2001-2541 Heeney Rd, Silverthorne, CO 80498, USA",Sep 2009,"data/lat_39.83738,long_-106.231_"
40.051121,-105.24427,1622.62866211,"4200-4398 47th St, Boulder, CO 80301, USA",Jul 2012,"data/lat_40.05112,long_-105.244_"
38.232863,-102.724016,1190.93469238,"41001-41099 US-287, Wiley, CO 81092, USA",Jul 2012,"data/lat_38.23286,long_-102.724_"
40.542333,-104.922768,1513.81567383,"37355 Northwest Dr, Windsor, CO 80550, USA",Jul 2012,"data/lat_40.54233,long_-104.922_"
40.535831,-104.927125,1512.75915527,"36880-36998 Co Rd 15, Windsor, CO 80550, USA",Jun 2012,"data/lat_40.53583,long_-104.927_"
40.53808,-104.926034,1513.82373047,"7014-7154 Co Rd 76, Windsor, CO 80550, USA",Jul 2012,"data/lat_40.53808,long_-104.926_"
40.596948,-105.004194,1513.2635498,"802 Waterglen Dr, Fort Collins, CO 80524, USA",Jun 2012,"data/lat_40.59694,long_-105.004_"
38.408816,-104.614021,1512.76464844,"US-85, Pueblo, CO 81008, USA",Aug 2015,"data/lat_38.40881,long_-104.614_"
37.72841,-107.742261,3077.00415039,"US-550, Durango, CO 81301, USA",Dec 2007,"data/lat_37.72841,long_-107.742_"
39.76863,-104.867658,1611.2701416,"10369-10483 Smith Rd, Denver, CO 80239, USA",Aug 2015,"data/lat_39.76863,long_-104.867_"
40.523681,-104.812843,1485.79516602,"13000-13688 Co Rd 74, Eaton, CO 80615, USA",Jul 2015,"data/lat_40.52368,long_-104.812_"
37.401548,-105.085465,2497.73852539,"14520-14564 CO-12, La Veta, CO 81055, USA",Aug 2012,"data/lat_37.40154,long_-105.085_"
37.654964,-104.790564,1862.81933594,"13438 I-25, Walsenburg, CO 81089, USA",Aug 2015,"data/lat_37.65496,long_-104.790_"
40.080572,-104.616688,1508.60058594,"Unnamed Road, Hudson, CO 80642, USA",Sep 2007,"data/lat_40.08057,long_-104.616_"
40.392918,-104.556083,1407.24304199,"US-34, Kersey, CO 80644, USA",Jul 2015,"data/lat_40.39291,long_-104.556_"
40.247538,-104.672216,1472.79602051,"Beebe Draw Farms Pkwy, Platteville, CO 80651, USA",Sep 2007,"data/lat_40.24753,long_-104.672_"
37.651069,-104.801308,1881.58410645,"CO-69, Walsenburg, CO 81089, USA",Jul 2012,"data/lat_37.65106,long_-104.801_"
39.625401,-105.258164,2185.87890625,"22759 Mountain Spirit Way, Indian Hills, CO 80454, USA",Aug 2012,"data/lat_39.62540,long_-105.258_"
38.089704,-106.134984,2347.30102539,"244 Gunnison Ave, Saguache, CO 81149, USA",Sep 2012,"data/lat_38.08970,long_-106.134_"
39.746389,-105.302692,1895.65405273,"US-6, Golden, CO 80401, USA",Jul 2012,"data/lat_39.74638,long_-105.302_"
39.165242,-108.635931,1417.98999023,"1126 22 1/2 Rd, Grand Junction, CO 81505, USA",Jul 2012,"data/lat_39.16524,long_-108.635_"
38.728539,-107.969608,1573.96740723,"5096-5210 2110 Ln, Delta, CO 81416, USA",Aug 2012,"data/lat_38.72853,long_-107.969_"
39.072016,-106.466056,3028.5546875,"12263 CO-82, Buena Vista, CO 81211, USA",Aug 2015,"data/lat_39.07201,long_-106.466_"
38.92999,-107.905678,2073.02880859,"24563 Tannin Rd, Cedaredge, CO 81413, USA",Aug 2012,"data/lat_38.92999,long_-107.905_"
38.607194,-107.981694,1633.65893555,"404 S 3rd St, Montrose, CO 81401, USA",Aug 2012,"data/lat_38.60719,long_-107.981_"
40.319457,-104.869645,1461.52770996,"9836 Co Rd 46, Milliken, CO 80543, USA",Jul 2012,"data/lat_40.31945,long_-104.869_"
40.812246,-104.764143,1642.69274902,"Co Rd 114, Nunn, CO 80648, USA",Oct 2007,"data/lat_40.81224,long_-104.764_"
