lat,lng,elev,city,county,state,full_address,date
39.638504,-104.724822,1781.19702148,Arapahoe County,Colorado,United States,"E Quincy Ave, Aurora, CO 80018, USA",Aug 2012
40.181862,-104.146892,1406.64367676,Morgan County,Colorado,United States,"Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012
39.117701,-104.743981,2274.37304688,Colorado Springs,El Paso County,Colorado,"19570 Twisted Pine Dr, Colorado Springs, CO 80908, USA",Sep 2011
40.351332,-105.503628,2342.93994141,Estes Park,Larimer County,Colorado,"1100-1198 Acacia Dr, Estes Park, CO 80517, USA",Oct 2012
38.850344,-103.456501,1517.35864258,Lincoln County,Colorado,United States,"CO-94, Karval, CO 80823, USA",Aug 2012
38.89862,-105.990561,2849.40698242,Buena Vista,Chaffee County,Colorado,"33600 US-24, Buena Vista, CO 81211, USA",Aug 2015
38.969791,-104.618586,2178.88964844,El Paso County,Colorado,United States,"Stapleton Dr, Peyton, CO 80831, USA",Sep 2011
40.744144,-102.994113,1188.72900391,Logan County,Colorado,United States,"I-76, Fleming, CO 80728, USA",Jun 2012
40.246883,-105.154185,1577.27294922,Longmont,Boulder County,Colorado,"8379-8599 Yellowstone Rd, Longmont, CO 80503, USA",Oct 2009
37.367919,-107.851487,2000.78942871,Durango,La Plata County,Colorado,"28561 US-550, Durango, CO 81301, USA",Dec 2007
39.625655,-104.743138,1777.83508301,Aurora,Arapahoe County,Colorado,"4963 S Malta St, Aurora, CO 80015, USA",Jun 2012
40.181997,-104.132276,1403.62524414,Wiggins,Morgan County,Colorado,"1264 Co Rd M 5/10, Wiggins, CO 80654, USA",Aug 2012
40.185111,-106.018941,2530.19946289,Granby,Grand County,Colorado,"5744 CO-125, Granby, CO 80446, USA",Sep 2012
38.996304,-103.479091,1569.93615723,Lincoln County,Colorado,United States,"Co Rd 109, Hugo, CO 80821, USA",Aug 2012
38.066255,-103.191275,1182.59204102,Las Animas,Bent County,Colorado,"12789-12999 County Road Ff 75, Las Animas, CO 81054, USA",Jul 2012
39.411727,-105.255139,1992.93981934,Pine,Jefferson County,Colorado,"16675-16999 SW Platte River Rd, Pine, CO 80470, USA",Jun 2015
40.056934,-105.24432,1623.69958496,Boulder,Boulder County,Colorado,"4561 47th St, Boulder, CO 80301, USA",Jul 2012
40.355538,-104.803353,1472.72216797,Greeley,Weld County,Colorado,"4900-5618 77th Ave, Greeley, CO 80634, USA",Jul 2012
38.853629,-106.163585,2491.10205078,Buena Vista,Chaffee County,Colorado,"29925 Co Rd 357, Buena Vista, CO 81211, USA",Oct 2012
39.294418,-102.544872,1333.99536133,Kit Carson County,Colorado,United States,"I-70, Bethune, CO 80805, USA",Oct 2012
38.777242,-107.981082,1569.50598145,Orchard City,Delta County,Colorado,"20354-20478 Iris Rd, Orchard City, CO 81410, USA",Aug 2012
39.803585,-105.061309,1616.3848877,Arvada,Jefferson County,Colorado,"5880-5940 W 59th Ave, Arvada, CO 80003, USA",Sep 2014
38.974537,-104.69851,2190.20825195,Colorado Springs,El Paso County,Colorado,"9865 Eaglet Way, Colorado Springs, CO 80908, USA",Sep 2011
38.286333,-104.554136,1439.3392334,Pueblo County,Colorado,United States,"Pete Jimenez Pkwy, Pueblo, CO 81001, USA",Jul 2015
37.660998,-107.797835,2769.11132812,San Juan County,Colorado,United States,"US-550, Durango, CO 81301, USA",Dec 2007
37.731851,-107.75035,3010.17382812,San Juan County,Colorado,United States,"US-550, Durango, CO 81301, USA",Dec 2007
40.582304,-104.991096,1505.08959961,Fort Collins,Larimer County,Colorado,"405-407 Loma Linda Dr, Fort Collins, CO 80524, USA",Jul 2012
39.80579,-105.071455,1621.92224121,Lamar Heights Area,Arvada,Jefferson County,"6785 W 60th Ave, Arvada, CO 80003, USA",Sep 2014
38.775774,-109.328506,1248.72302246,Grand County,Utah,United States,"UT-128, Moab, UT 84532, USA",Sep 2012
